IDRC Kenya,,Project: ,,,,,,,,,
09-May-2019,,Created : ,,,,,,,,,
Process ID,Sample ID,Sample ID,Order,Genus,Species,Subspecies,Country/Ocean,Exact Site,Lat,Lon,Elev
KBIR100-11,06536-A6,06536-A6,Passeriformes,Alcippe,,,Kenya,Kamwega-Kipsamoite road,0.333,34.967,2134
KBIR142-11,06536-D12,06536-D12,Passeriformes,Anthus,Anthus richardi,,Kenya,Near Lake Naivasha,-0.75,36.333,1890
KBIR141-11,06536-D11,06536-D11,Passeriformes,Anthus,Anthus richardi,,Kenya,Near Lake Naivasha,-0.75,36.333,1890
KBIR005-11,06535-A5,06535-A5,Passeriformes,Anthus,Anthus sokokensis,,Kenya,Near Kilifi,-3.318,39.867,21
KBIR004-11,06535-A4,06535-A4,Passeriformes,Anthus,Anthus sokokensis,,Kenya,Near Kilifi,-3.318,39.867,21
KBIR001-11,06535-A1,06535-A1,Pelecaniformes,Ardea,,,Kenya,Marsh,-1.167,39.867,1981
KBIR075-11,06535-G3,06535-G3,Passeriformes,Bleda,,,Kenya,Kamwega-Kimsamoite road,0.333,35,2134
KBIR076-11,06535-G4,06535-G4,Passeriformes,Bleda,,,Kenya,Kamwega-Kimsamoite road,0.333,34.967,2134
KBIR077-11,06535-G5,06535-G5,Passeriformes,Bleda,,,Kenya,Kamwega-Kimsamoite road,0.333,34.967,2134
KBIR078-11,06535-G6,06535-G6,Passeriformes,Bleda,,,Kenya,Kamwega-Kimsamoite road,0.333,34.967,2134
KBIR163-11,06536-F9,06536-F9,Bucerotiformes,,,,Kenya,Amani forest,,,3000
KBIR164-11,06536-F10,06536-F10,Bucerotiformes,,,,Kenya,Amani forest,,,3000
KBIR093-11,06535-H9,06535-H9,Passeriformes,Buphagus,,,Kenya,Archer`s Post,0.633,37.65,914
KBIR170-11,06536-G4,06536-G4,Bucerotiformes,Bycanistes,Bycanistes subcylindricus,,Kenya,East Surrey Estate,,,
KBIR172-11,06536-G6,06536-G6,Bucerotiformes,Bycanistes,Bycanistes subcylindricus,,Kenya,Bombo,,,1216
